,[0],"[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[0, 6]","[0, 1, 2]","[0, 1, 3]","[0, 1, 4]","[0, 1, 5]","[0, 1, 6]","[0, 2, 4]","[0, 2, 5]","[0, 2, 6]","[0, 2, 7]","[0, 3, 6]","[0, 3, 7]","[0, 4, 8]"
Op. 28 iii,0.0,18.6046511627907,0.0,10.852713178294573,0.0,0.0,0.0,0.0,60.46511627906976,1.550387596899225,7.751937984496124,0.0,0.0,0.0,0.0,0.0,0.7751937984496124,0.0,0.0
Op. 29 i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.506024096385545,71.08433734939759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4096385542168677
Op. 29 ii,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,2.1052631578947367,51.578947368421055,45.26315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Op. 29 iii,0.0,7.450980392156863,0.0,3.9215686274509802,1.9607843137254901,0.0,0.0,0.39215686274509803,32.94117647058823,50.588235294117645,0.0,0.0,0.39215686274509803,1.9607843137254901,0.0,0.0,0.39215686274509803,0.0,0.0
Op. 3 i,0.0,6.870229007633588,4.580152671755725,3.0534351145038165,1.5267175572519083,2.2900763358778624,0.7633587786259541,18.3206106870229,9.923664122137405,15.267175572519085,8.396946564885496,9.16030534351145,1.5267175572519083,7.633587786259542,5.343511450381679,0.7633587786259541,3.816793893129771,0.7633587786259541,0.0
Op. 3 ii,0.0,3.755868544600939,2.8169014084507045,1.4084507042253522,1.8779342723004695,2.8169014084507045,0.9389671361502347,12.676056338028168,8.450704225352112,2.3474178403755865,8.450704225352112,21.12676056338028,3.286384976525822,8.92018779342723,10.328638497652582,3.755868544600939,0.9389671361502347,5.633802816901409,0.4694835680751174
Op. 3 iii,0.0,14.285714285714285,12.244897959183673,2.0408163265306123,3.4013605442176873,1.3605442176870748,0.0,12.244897959183673,6.802721088435375,8.16326530612245,8.843537414965986,10.204081632653061,2.0408163265306123,3.4013605442176873,8.843537414965986,1.3605442176870748,0.6802721088435374,2.7210884353741496,1.3605442176870748
Op. 3 iv,0.0,7.9787234042553195,5.851063829787234,3.1914893617021276,2.6595744680851063,2.127659574468085,1.5957446808510638,10.106382978723403,9.042553191489363,9.042553191489363,14.361702127659576,6.382978723404255,2.127659574468085,4.787234042553192,6.914893617021277,0.5319148936170213,4.787234042553192,6.914893617021277,1.5957446808510638
Op. 3 v,1.6877637130801686,19.831223628691983,1.2658227848101267,0.0,3.375527426160337,0.8438818565400843,0.8438818565400843,8.860759493670885,8.016877637130802,11.39240506329114,15.18987341772152,10.548523206751055,1.2658227848101267,2.9535864978902953,6.751054852320674,0.42194092827004215,2.9535864978902953,1.6877637130801686,2.109704641350211
Op. 30,10.152284263959391,0.5076142131979695,0.0,0.0,0.0,0.0,0.0,0.5076142131979695,27.411167512690355,60.40609137055838,0.5076142131979695,0.5076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Op. 31 i,0.0,0.0,0.0,0.0,2.4691358024691357,0.0,0.0,11.11111111111111,0.0,53.086419753086425,20.98765432098765,4.938271604938271,1.2345679012345678,0.0,0.0,0.0,0.0,0.0,6.172839506172839
Op. 31 ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.705882352941178,1.9607843137254901,47.05882352941176,23.52941176470588,0.0,0.0,0.0,0.9803921568627451,0.0,0.0,2.941176470588235,8.823529411764707
Op. 31 iii,0.0,0.0,0.0,0.2597402597402597,0.2597402597402597,0.0,0.0,15.064935064935064,0.0,40.77922077922078,28.31168831168831,0.5194805194805194,0.0,0.0,0.5194805194805194,0.0,0.2597402597402597,0.7792207792207793,13.246753246753245
Op. 31 iv,0.0,7.4074074074074066,0.0,0.0,0.0,0.0,0.0,14.814814814814813,0.0,33.33333333333333,37.03703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4074074074074066
Op. 31 v,0.0,3.308823529411765,0.0,0.3676470588235294,3.308823529411765,0.0,0.0,10.294117647058822,0.3676470588235294,52.20588235294118,22.058823529411764,0.3676470588235294,0.0,0.0,0.0,0.0,0.0,1.8382352941176472,5.88235294117647
Op. 31 vi,0.0,0.4975124378109453,0.4975124378109453,0.0,4.975124378109453,0.0,0.0,6.965174129353234,2.4875621890547266,44.776119402985074,33.33333333333333,0.0,0.4975124378109453,0.0,0.0,0.0,0.0,0.0,5.970149253731343
Op. 4 i,3.203661327231121,21.96796338672769,4.3478260869565215,3.203661327231121,2.2883295194508007,3.4324942791762014,1.1441647597254003,5.263157894736842,5.491990846681922,10.068649885583524,10.983981693363845,8.466819221967963,1.3729977116704806,2.517162471395881,8.009153318077804,2.517162471395881,1.8306636155606408,3.6613272311212817,0.2288329519450801
